Shift,Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Comments,Line No,status,Year,Month,Day,Hour,DayOfWeek,IsWeekend,Lag1_Time,Lag2_Time,Failure,time_between_failure,time_between_failure_minutes
John Smiths/Yellow,no failure,De-palletiser,,,,,18.0,,2024,4,18,8,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2024,3,13,7,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,8,22,23,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,6,7,7,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,11,25,17,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,5,1,20,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,9,6,8,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,3,18,11,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,5,28,21,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,2,28,12,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,10,26,15,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,4,10,4,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,4,25,10,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,10,16,14,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,10,9,1,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,2,2,21,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,7,9,11,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,5,14,23,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,12,31,12,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,10,24,12,0,False,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,2,11,21,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,6,13,17,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,10,31,21,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,6,23,16,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,12,3,20,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,4,22,8,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2024,1,11,4,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,8,31,6,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,12,14,15,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,7,4,7,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,7,17,16,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,7,9,17,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,9,25,13,0,False,,,0,,
